average_global_precip_2018_newnew
Country Name,Country Code,Indicator Name,2018
Aruba,ABW,Average precipitation in depth (mm per year),
Afghanistan,AFG,Average precipitation in depth (mm per year),327
Angola,AGO,Average precipitation in depth (mm per year),1010
Albania,ALB,Average precipitation in depth (mm per year),1485
Andorra,AND,Average precipitation in depth (mm per year),
United Arab Emirates,ARE,Average precipitation in depth (mm per year),78
Argentina,ARG,Average precipitation in depth (mm per year),591
Armenia,ARM,Average precipitation in depth (mm per year),562
American Samoa,ASM,Average precipitation in depth (mm per year),
Antigua and Barbuda,ATG,Average precipitation in depth (mm per year),1030
Australia,AUS,Average precipitation in depth (mm per year),534
Austria,AUT,Average precipitation in depth (mm per year),1110
Azerbaijan,AZE,Average precipitation in depth (mm per year),447
Burundi,BDI,Average precipitation in depth (mm per year),1274
Belgium,BEL,Average precipitation in depth (mm per year),847
Benin,BEN,Average precipitation in depth (mm per year),1039
Burkina Faso,BFA,Average precipitation in depth (mm per year),748
Bangladesh,BGD,Average precipitation in depth (mm per year),2666
Bulgaria,BGR,Average precipitation in depth (mm per year),608
Bahrain,BHR,Average precipitation in depth (mm per year),83
"Bahamas, The",BHS,Average precipitation in depth (mm per year),1292
Bosnia and Herzegovina,BIH,Average precipitation in depth (mm per year),1028
Belarus,BLR,Average precipitation in depth (mm per year),618
Belize,BLZ,Average precipitation in depth (mm per year),1705
Bermuda,BMU,Average precipitation in depth (mm per year),0
Bolivia,BOL,Average precipitation in depth (mm per year),1146
Brazil,BRA,Average precipitation in depth (mm per year),1761
Barbados,BRB,Average precipitation in depth (mm per year),1422
Brunei Darussalam,BRN,Average precipitation in depth (mm per year),2722
Bhutan,BTN,Average precipitation in depth (mm per year),2200
Botswana,BWA,Average precipitation in depth (mm per year),416
Central African Republic,CAF,Average precipitation in depth (mm per year),1343
Canada,CAN,Average precipitation in depth (mm per year),537
Switzerland,CHE,Average precipitation in depth (mm per year),1537
Channel Islands,CHI,Average precipitation in depth (mm per year),
Chile,CHL,Average precipitation in depth (mm per year),1522
China,CHN,Average precipitation in depth (mm per year),645
Cote d'Ivoire,CIV,Average precipitation in depth (mm per year),1348
Cameroon,CMR,Average precipitation in depth (mm per year),1604
"Congo, Dem. Rep.",COD,Average precipitation in depth (mm per year),1543
"Congo, Rep.",COG,Average precipitation in depth (mm per year),1646
Colombia,COL,Average precipitation in depth (mm per year),3240
Comoros,COM,Average precipitation in depth (mm per year),900
Cabo Verde,CPV,Average precipitation in depth (mm per year),228
Costa Rica,CRI,Average precipitation in depth (mm per year),2926
Cuba,CUB,Average precipitation in depth (mm per year),1335
Curacao,CUW,Average precipitation in depth (mm per year),
Cayman Islands,CYM,Average precipitation in depth (mm per year),0
Cyprus,CYP,Average precipitation in depth (mm per year),498
Czech Republic,CZE,Average precipitation in depth (mm per year),677
Germany,DEU,Average precipitation in depth (mm per year),700
Djibouti,DJI,Average precipitation in depth (mm per year),220
Dominica,DMA,Average precipitation in depth (mm per year),2083
Denmark,DNK,Average precipitation in depth (mm per year),703
Dominican Republic,DOM,Average precipitation in depth (mm per year),1410
Algeria,DZA,Average precipitation in depth (mm per year),89
Ecuador,ECU,Average precipitation in depth (mm per year),2274
"Egypt, Arab Rep.",EGY,Average precipitation in depth (mm per year),18.1
Eritrea,ERI,Average precipitation in depth (mm per year),384
Spain,ESP,Average precipitation in depth (mm per year),636
Estonia,EST,Average precipitation in depth (mm per year),626
Ethiopia,ETH,Average precipitation in depth (mm per year),848
Finland,FIN,Average precipitation in depth (mm per year),536
Fiji,FJI,Average precipitation in depth (mm per year),2592
France,FRA,Average precipitation in depth (mm per year),867
Faroe Islands,FRO,Average precipitation in depth (mm per year),0
"Micronesia, Fed. Sts.",FSM,Average precipitation in depth (mm per year),
Gabon,GAB,Average precipitation in depth (mm per year),1831
United Kingdom,GBR,Average precipitation in depth (mm per year),1220
Georgia,GEO,Average precipitation in depth (mm per year),1026
Ghana,GHA,Average precipitation in depth (mm per year),1187
Gibraltar,GIB,Average precipitation in depth (mm per year),
Guinea,GIN,Average precipitation in depth (mm per year),1651
"Gambia, The",GMB,Average precipitation in depth (mm per year),836
Guinea-Bissau,GNB,Average precipitation in depth (mm per year),1577
Equatorial Guinea,GNQ,Average precipitation in depth (mm per year),2156
Greece,GRC,Average precipitation in depth (mm per year),652
Grenada,GRD,Average precipitation in depth (mm per year),2350
Greenland,GRL,Average precipitation in depth (mm per year),0
Guatemala,GTM,Average precipitation in depth (mm per year),1996
Guam,GUM,Average precipitation in depth (mm per year),0
Guyana,GUY,Average precipitation in depth (mm per year),2387
"Hong Kong SAR, China",HKG,Average precipitation in depth (mm per year),0
Honduras,HND,Average precipitation in depth (mm per year),1976
Croatia,HRV,Average precipitation in depth (mm per year),1113
Haiti,HTI,Average precipitation in depth (mm per year),1440
Hungary,HUN,Average precipitation in depth (mm per year),589
Indonesia,IDN,Average precipitation in depth (mm per year),2702
India,IND,Average precipitation in depth (mm per year),1083
Ireland,IRL,Average precipitation in depth (mm per year),1118
"Iran, Islamic Rep.",IRN,Average precipitation in depth (mm per year),228
Iraq,IRQ,Average precipitation in depth (mm per year),216
Iceland,ISL,Average precipitation in depth (mm per year),1940
Israel,ISR,Average precipitation in depth (mm per year),435
Italy,ITA,Average precipitation in depth (mm per year),832
Jamaica,JAM,Average precipitation in depth (mm per year),2051
Jordan,JOR,Average precipitation in depth (mm per year),111
Japan,JPN,Average precipitation in depth (mm per year),1668
Kazakhstan,KAZ,Average precipitation in depth (mm per year),250
Kenya,KEN,Average precipitation in depth (mm per year),630
Kyrgyz Republic,KGZ,Average precipitation in depth (mm per year),533
Cambodia,KHM,Average precipitation in depth (mm per year),1904
Kiribati,KIR,Average precipitation in depth (mm per year),
St. Kitts and Nevis,KNA,Average precipitation in depth (mm per year),1427
"Korea, Rep.",KOR,Average precipitation in depth (mm per year),1274
Kuwait,KWT,Average precipitation in depth (mm per year),121
Lao PDR,LAO,Average precipitation in depth (mm per year),1834
Lebanon,LBN,Average precipitation in depth (mm per year),661
Liberia,LBR,Average precipitation in depth (mm per year),2391
Libya,LBY,Average precipitation in depth (mm per year),56
St. Lucia,LCA,Average precipitation in depth (mm per year),2301
Liechtenstein,LIE,Average precipitation in depth (mm per year),
Sri Lanka,LKA,Average precipitation in depth (mm per year),1712
Lesotho,LSO,Average precipitation in depth (mm per year),788
Lithuania,LTU,Average precipitation in depth (mm per year),656
Luxembourg,LUX,Average precipitation in depth (mm per year),934
Latvia,LVA,Average precipitation in depth (mm per year),667
St. Martin (French part),MAF,Average precipitation in depth (mm per year),
Morocco,MAR,Average precipitation in depth (mm per year),346
Monaco,MCO,Average precipitation in depth (mm per year),
Moldova,MDA,Average precipitation in depth (mm per year),450
Madagascar,MDG,Average precipitation in depth (mm per year),1513
Maldives,MDV,Average precipitation in depth (mm per year),1972
Mexico,MEX,Average precipitation in depth (mm per year),758
Marshall Islands,MHL,Average precipitation in depth (mm per year),0
North Macedonia,MKD,Average precipitation in depth (mm per year),619
Mali,MLI,Average precipitation in depth (mm per year),282
Malta,MLT,Average precipitation in depth (mm per year),560
Myanmar,MMR,Average precipitation in depth (mm per year),2091
Montenegro,MNE,Average precipitation in depth (mm per year),
Mongolia,MNG,Average precipitation in depth (mm per year),241
Northern Mariana Islands,MNP,Average precipitation in depth (mm per year),0
Mozambique,MOZ,Average precipitation in depth (mm per year),1032
Mauritania,MRT,Average precipitation in depth (mm per year),92
Mauritius,MUS,Average precipitation in depth (mm per year),2041
Malawi,MWI,Average precipitation in depth (mm per year),1181
Malaysia,MYS,Average precipitation in depth (mm per year),2875
Namibia,NAM,Average precipitation in depth (mm per year),285
New Caledonia,NCL,Average precipitation in depth (mm per year),
Niger,NER,Average precipitation in depth (mm per year),151
Nigeria,NGA,Average precipitation in depth (mm per year),1150
Nicaragua,NIC,Average precipitation in depth (mm per year),2280
Netherlands,NLD,Average precipitation in depth (mm per year),778
Norway,NOR,Average precipitation in depth (mm per year),1414
Nepal,NPL,Average precipitation in depth (mm per year),1500
Nauru,NRU,Average precipitation in depth (mm per year),
New Zealand,NZL,Average precipitation in depth (mm per year),1732
Oman,OMN,Average precipitation in depth (mm per year),125
Pakistan,PAK,Average precipitation in depth (mm per year),494
Panama,PAN,Average precipitation in depth (mm per year),2928
Peru,PER,Average precipitation in depth (mm per year),1738
Philippines,PHL,Average precipitation in depth (mm per year),2348
Palau,PLW,Average precipitation in depth (mm per year),
Papua New Guinea,PNG,Average precipitation in depth (mm per year),3142
Poland,POL,Average precipitation in depth (mm per year),600
Puerto Rico,PRI,Average precipitation in depth (mm per year),2054
"Korea, Dem. People's Rep.",PRK,Average precipitation in depth (mm per year),1054
Portugal,PRT,Average precipitation in depth (mm per year),854
Paraguay,PRY,Average precipitation in depth (mm per year),1130
West Bank and Gaza,PSE,Average precipitation in depth (mm per year),402
French Polynesia,PYF,Average precipitation in depth (mm per year),
Qatar,QAT,Average precipitation in depth (mm per year),74
Romania,ROU,Average precipitation in depth (mm per year),637
Russian Federation,RUS,Average precipitation in depth (mm per year),460
Rwanda,RWA,Average precipitation in depth (mm per year),1212
Saudi Arabia,SAU,Average precipitation in depth (mm per year),59
Sudan,SDN,Average precipitation in depth (mm per year),250
Senegal,SEN,Average precipitation in depth (mm per year),686
Singapore,SGP,Average precipitation in depth (mm per year),2497
Solomon Islands,SLB,Average precipitation in depth (mm per year),3028
Sierra Leone,SLE,Average precipitation in depth (mm per year),2526
El Salvador,SLV,Average precipitation in depth (mm per year),1784
San Marino,SMR,Average precipitation in depth (mm per year),
Somalia,SOM,Average precipitation in depth (mm per year),282
Serbia,SRB,Average precipitation in depth (mm per year),0
South Sudan,SSD,Average precipitation in depth (mm per year),900
Sao Tome and Principe,STP,Average precipitation in depth (mm per year),3200
Suriname,SUR,Average precipitation in depth (mm per year),2331
Slovak Republic,SVK,Average precipitation in depth (mm per year),824
Slovenia,SVN,Average precipitation in depth (mm per year),1162
Sweden,SWE,Average precipitation in depth (mm per year),624
Eswatini,SWZ,Average precipitation in depth (mm per year),788
Sint Maarten (Dutch part),SXM,Average precipitation in depth (mm per year),
Seychelles,SYC,Average precipitation in depth (mm per year),2330
Syrian Arab Republic,SYR,Average precipitation in depth (mm per year),252
Turks and Caicos Islands,TCA,Average precipitation in depth (mm per year),
Chad,TCD,Average precipitation in depth (mm per year),322
Togo,TGO,Average precipitation in depth (mm per year),1168
Thailand,THA,Average precipitation in depth (mm per year),1622
Tajikistan,TJK,Average precipitation in depth (mm per year),691
Turkmenistan,TKM,Average precipitation in depth (mm per year),161
